CGPA,Internships,Projects,AptitudeScore,CommunicationSkill,Salary
6.87,3,7,58,6,1660272.74
9.75,5,4,89,6,2019198.01
8.66,2,2,47,7,1537319.62
7.99,4,7,65,7,1822351.89
5.78,0,6,88,6,1314149.77
5.78,4,3,79,4,1317724.74
5.29,5,6,46,9,1537796.26
9.33,5,6,69,6,2009887.64
8.01,0,5,46,4,1342400.26
8.54,1,4,42,3,1484519.4
5.1,0,1,40,4,867519.3
9.85,3,6,75,3,1814804.84
9.16,2,2,64,2,1540515.39
6.06,1,3,76,5,1260805.04
5.91,0,8,40,2,1020399.88
5.92,4,6,54,6,1508770.37
6.52,1,3,76,3,1224226.78
7.62,1,7,52,6,1572644.92
7.16,0,4,79,9,1492992.79
6.46,1,9,47,1,1176528.17
8.06,4,5,44,6,1707321.67
5.7,5,3,99,9,1683025.4
6.46,1,2,48,4,1157270.71
6.83,5,2,40,2,1337351.58
7.28,4,3,75,4,1485898.04
8.93,0,2,74,1,1389112.96
6.0,2,4,41,3,1169427.7
7.57,1,2,79,9,1586710.92
7.96,2,9,62,5,1624435.71
5.23,4,2,48,6,1265112.43
8.04,1,9,73,3,1576050.94
5.85,5,6,85,5,1533708.9
5.33,3,1,53,8,1241909.28
9.74,2,4,43,6,1738423.85
9.83,1,1,69,4,1598433.88
9.04,2,6,70,2,1573067.12
6.52,1,4,77,9,1525576.49
5.49,0,3,50,1,1004215.27
8.42,5,3,74,1,1579058.62
7.2,2,9,47,4,1564888.83
5.61,3,6,42,7,1484916.59
7.48,3,9,53,1,1423929.05
5.17,4,5,99,9,1602852.21
9.55,1,2,52,4,1667186.6
6.29,2,8,84,3,1420746.0
8.31,4,5,71,1,1577040.61
6.56,2,2,73,4,1232699.73
7.6,1,4,84,9,1647416.9
7.73,3,9,58,6,1744379.43
5.92,0,4,98,6,1465864.13
9.85,3,4,77,1,1693199.66
8.88,4,2,55,2,1477468.68
9.7,5,6,41,6,1856737.54
9.47,0,2,79,2,1501610.52
7.99,4,7,56,3,1680660.34
9.61,1,3,94,4,1752067.68
5.44,0,3,73,5,1169812.79
5.98,4,5,81,9,1711057.22
5.23,1,3,99,4,1173588.55
6.63,3,2,55,9,1521554.74
6.94,5,9,77,3,1632780.89
6.36,1,2,99,8,1466627.21
9.14,2,2,41,1,1359486.53
6.78,1,8,41,9,1529401.2
6.4,1,9,65,9,1596614.22
7.71,5,7,52,2,1567626.43
5.7,2,3,95,4,1295946.92
9.01,4,9,86,8,2104452.03
5.37,4,3,70,7,1471334.79
9.93,1,5,99,1,1769157.79
8.86,2,9,73,5,1845271.09
5.99,2,3,78,7,1344800.93
5.03,5,7,42,4,1296579.5
9.08,3,1,47,1,1431885.75
8.53,4,4,62,9,1836742.51
8.65,5,4,53,5,1764117.56
8.86,0,7,95,2,1523483.58
5.37,4,8,94,8,1731078.32
6.79,5,1,66,2,1427561.03
5.58,4,5,93,3,1417510.11
9.32,3,7,68,1,1684294.53
8.12,0,4,78,2,1449841.96
6.65,3,4,92,7,1638470.25
5.32,0,4,78,2,1107731.89
6.55,1,6,40,6,1343047.4
6.63,5,7,56,3,1598065.65
8.65,0,2,80,4,1546344.39
8.19,3,5,69,8,1810276.81
9.44,4,4,92,3,1891598.65
7.36,0,3,52,6,1333241.9
5.6,5,7,60,1,1258624.98
8.57,0,6,58,7,1648477.53
8.8,2,7,92,8,1924145.48
7.81,4,5,58,8,1746314.13
8.85,5,6,96,3,1930815.6
7.47,5,5,64,1,1511756.96
7.61,1,7,61,9,1694378.45
7.14,3,2,70,6,1490447.37
5.13,1,5,56,9,1362656.16
5.54,5,6,94,7,1661893.79
5.16,4,6,62,1,1238882.98
8.18,0,5,71,1,1334736.8
6.57,0,7,49,6,1415604.42
7.54,4,8,49,5,1743738.42
9.54,5,7,75,9,2196901.92
6.25,0,5,47,2,1055535.59
7.05,0,1,93,8,1429889.89
8.78,0,5,91,5,1632831.15
6.14,3,2,59,2,1165581.14
5.38,3,5,71,6,1370045.37
6.45,2,5,89,8,1617622.12
5.81,1,2,53,4,1130697.62
9.65,4,5,89,2,1840114.45
9.04,4,4,67,5,1773739.86
8.17,4,1,85,2,1536707.7
9.36,2,3,91,2,1691028.78
9.02,3,1,92,6,1672802.1
5.93,5,5,63,9,1635030.48
9.46,5,4,54,4,1821599.38
7.7,2,7,61,6,1661179.15
9.04,5,5,69,7,1896297.7
9.48,4,4,43,6,1753454.52
6.59,1,2,52,8,1395997.75
5.55,0,4,98,4,1124777.39
